healthScore,maxNumberCommit,numberCommit,orgName,repoName
0.6176470588235294,34,21.0,TechInterMezzo,"TechInterMezzo/techintermezzo.github.io"
0.6153846153846154,13,8.0,fzqk,fzqk/fzqk.github.io
0.6153846153846154,13,8.0,songjian925,"songjian925/testAutoCommit"
0.6153846153846154,13,8.0,CalFishTrack,CalFishTrack/real-time
0.6111111111111112,36,22.0,mochizuki-pg,"mochizuki-pg/get_github_issues_web"
0.6111111111111112,18,11.0,ishvaram,ishvaram/hackygbit
0.6111111111111112,18,11.0,csagan5,"bromite/bromite.github.io"
0.6097560975609756,41,25.0,astroKaren,"astroKaren/rules-for-derivatives-lab-ds-apply-000"
0.6086956521739131,23,14.0,wenqingyu,"wenqingyu/raspberrypi-log"
0.6071428571428571,28,17.0,Sonic90,Sonic90/StarBlitzX_Unity
0.6,5,3.0,chendachao,chendachao/stone
0.6,5,3.0,dontcallmedom-bot,w3c/spec-dashboard
0.6,5,3.0,qbaohelp,qbaohelp/wantonline
0.6,5,3.0,Interesnij,Interesnij/tr
0.6,5,3.0,snoopycrimecop,"snoopycrimecop/bio-formats-build"
0.6,5,3.0,hagaholm,"hagaholm/Home-AssistantConfig"
0.6,5,3.0,vvanelslande,"vvanelslande/n3ds-result-code-decoder.glitch.me"
0.6,5,3.0,bors[bot],"intellij-rust/intellij-rust"
0.6,5,3.0,ryanbr,easylist/easylist
0.6,5,3.0,github-actions[bot],"mysticatea/eslint-evaluating-issues"
0.6,5,3.0,pull[bot],Pandinosaurus/spark
0.6,5,3.0,pull[bot],zatoichi-labs/substrate
0.6,5,3.0,cryptobigbro,"cryptobigbro/bitmex-XBTZ19"
0.6,5,3.0,cryptobigbro,"cryptobigbro/bitmex-ETHU19"
0.6,15,9.0,newstools,"newstools/2019-sahara-reporters"
0.6,5,3.0,xrickztahx,xrickztahx/pavileonPatch
0.6,5,3.0,Rpsl,Rpsl/greenhat
0.6,15,9.0,racarr01,"racarr01/racarr01.github.io"
0.6,10,6.0,jin407891080,"jin407891080/jin407891080.github.io"
0.6,5,3.0,test-cps,ncaron-mitre/cvelist
0.6,15,9.0,kinlane,"kinlane/the-us-narrative-today"
0.6,5,3.0,cryptobigbro,"cryptobigbro/coinbasepro-ZRX-EUR"
0.6,5,3.0,cryptobigbro,"cryptobigbro/coinbasepro-ETH-USDC"
0.6,5,3.0,cryptobigbro,"cryptobigbro/coinbasepro-LOOM-USDC"
0.6,5,3.0,cryptobigbro,"cryptobigbro/coinbasepro-BCH-GBP"
